[stash] 20 entries | tipos {'pdf': 15, 'image': 1, 'zip': 4} | categorias {'cronograma': 1, 'material-de-aula': 9, 'fotos-de-prova': 1, 'listas': 5, 'codigo-professor': 4} | ignorados ['.moodle_nomes.json']
[options] {'default_processing_mode': 'high_fidelity', 'image_description_source': 'datalab', 'skip_base_backends': False, 'profile_backends': {'math_heavy': 'datalab', 'scanned': 'datalab', 'diagram_heavy': 'datalab', 'auto': 'auto'}}
[meta] {'course_name': 'Fundamentos de Redes de Computadores', 'course_slug': 'fundamentos-de-redes-de-computadores', 'semester': '2026/2', 'professor': 'Marcelo Veiga Neves', 'institution': 'PUCRS'} | gemini_auto_summarize: False
  (1/20) Plano de Ensino - 20262  [9s]
  (0/-1)   [10s]
  (0/-1)   [11s]
  (0/-1)   [14s]
  (0/-1)   [16s]
  (0/-1)   [18s]
  (0/-1)   [20s]
  (0/-1)   [22s]
  (0/-1)   [24s]
  (0/-1)   [26s]
  (0/-1)   [28s]
  (0/-1)   [30s]
  (0/-1)   [32s]
  (0/-1)   [34s]
  (0/-1)   [36s]
  (0/-1)   [38s]
  (0/-1)   [38s]
  (0/-1)   [38s]
  (2/20) 01 - Protocolos de Rede  [39s]
  (0/-1)   [44s]
  (0/-1)   [49s]
  (0/-1)   [51s]
  (0/-1)   [53s]
  (0/-1)   [55s]
  (0/-1)   [57s]
  (0/-1)   [59s]
  (0/-1)   [61s]
  (0/-1)   [63s]
  (0/-1)   [65s]
  (0/-1)   [67s]
  (0/-1)   [69s]
  (0/-1)   [71s]
  (0/-1)   [73s]
  (0/-1)   [75s]
  (0/-1)   [77s]
  (0/-1)   [79s]
  (0/-1)   [81s]
  (0/-1)   [83s]
  (0/-1)   [85s]
  (0/-1)   [87s]
  (0/-1)   [89s]
  (0/-1)   [91s]
  (0/-1)   [93s]
  (0/-1)   [95s]
  (0/-1)   [97s]
  (0/-1)   [99s]
  (0/-1)   [101s]
  (0/-1)   [101s]
  (0/-1)   [101s]
  (3/20) 02 - Modelos de Referencia  [106s]
  (0/-1)   [113s]
  (0/-1)   [119s]
  (0/-1)   [121s]
  (0/-1)   [123s]
  (0/-1)   [125s]
  (0/-1)   [127s]
  (0/-1)   [129s]
  (0/-1)   [131s]
  (0/-1)   [133s]
  (0/-1)   [135s]
  (0/-1)   [137s]
  (0/-1)   [139s]
  (0/-1)   [141s]
  (0/-1)   [143s]
  (0/-1)   [145s]
  (0/-1)   [147s]
  (0/-1)   [149s]
  (0/-1)   [151s]
  (0/-1)   [153s]
  (0/-1)   [155s]
  (0/-1)   [157s]
  (0/-1)   [159s]
  (0/-1)   [161s]
  (0/-1)   [163s]
  (0/-1)   [165s]
  (0/-1)   [167s]
  (0/-1)   [169s]
  (0/-1)   [171s]
  (0/-1)   [173s]
  (0/-1)   [175s]
  (0/-1)   [177s]
  (0/-1)   [177s]
  (0/-1)   [177s]
  (4/20) 02 - poster-network-protocols  [183s]
  (5/20) 03 - Tipos de Redes  [183s]
  (0/-1)   [188s]
  (0/-1)   [194s]
  (0/-1)   [196s]
  (0/-1)   [198s]
  (0/-1)   [200s]
  (0/-1)   [202s]
  (0/-1)   [204s]
  (0/-1)   [206s]
  (0/-1)   [208s]
  (0/-1)   [210s]
  (0/-1)   [212s]
  (0/-1)   [214s]
  (0/-1)   [216s]
  (0/-1)   [218s]
  (0/-1)   [220s]
  (0/-1)   [222s]
  (0/-1)   [224s]
  (0/-1)   [226s]
  (0/-1)   [228s]
  (0/-1)   [230s]
  (0/-1)   [232s]
  (0/-1)   [234s]
  (0/-1)   [236s]
  (0/-1)   [238s]
  (0/-1)   [240s]
  (0/-1)   [242s]
  (0/-1)   [244s]
  (0/-1)   [246s]
  (0/-1)   [248s]
  (0/-1)   [250s]
  (0/-1)   [252s]
  (0/-1)   [254s]
  (0/-1)   [256s]
  (0/-1)   [258s]
  (0/-1)   [260s]
  (0/-1)   [260s]
  (0/-1)   [260s]
  (6/20) unidade1-exercicios  [265s]
  (0/-1)   [266s]
  (0/-1)   [267s]
  (0/-1)   [269s]
  (0/-1)   [271s]
  (0/-1)   [273s]
  (0/-1)   [275s]
  (0/-1)   [277s]
  (0/-1)   [279s]
  (0/-1)   [281s]
  (0/-1)   [281s]
  (0/-1)   [281s]
  (7/20) 04 - Camada de Aplicação  [282s]
  (0/-1)   [284s]
  (0/-1)   [287s]
